"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","28-Sep-2016","27-Oct-2016","CE","9100","19.3","26.85","19.05","24.65","25.05","24.65","25368","173589.71","453.11","1888500","268500","8745.15"
"NIFTY","29-Sep-2016","27-Oct-2016","CE","9100","29.95","31.9","14.5","16.95","16.9","16.95","86817","593856.14","1330.12","2353500","465000","8591.25"
"NIFTY","30-Sep-2016","27-Oct-2016","CE","9100","15.25","18.35","11.1","13.4","14.35","13.4","55925","382240.79","552.67","2386275","32775","8611.15"
"NIFTY","03-Oct-2016","27-Oct-2016","CE","9100","14","20.15","12.4","18.85","19.35","18.85","76481","522954.41","971.58","2788125","401850","8738.1"
"NIFTY","04-Oct-2016","27-Oct-2016","CE","9100","21.1","21.1","14.65","17.15","17.4","17.15","103596","708438.45","1395.75","3064350","276225","8769.15"
"NIFTY","05-Oct-2016","27-Oct-2016","CE","9100","19.05","19.6","10.6","11.7","11.2","11.7","74260","507553.85","729.35","3101250","36900","8743.95"
"NIFTY","06-Oct-2016","27-Oct-2016","CE","9100","8.1","13.45","5.65","6.85","7.4","6.85","75909","518597.81","518.88","3175500","74250","8709.55"
"NIFTY","07-Oct-2016","27-Oct-2016","CE","9100","7.4","7.4","4.35","5.5","5.5","5.5","45818","312892.71","184.86","2820900","-354600","8697.6"
"NIFTY","10-Oct-2016","27-Oct-2016","CE","9100","6.8","6.8","4.3","5","4.8","5","25446","173764.06","95.11","2739525","-81375","8708.8"
"NIFTY","13-Oct-2016","27-Oct-2016","CE","9100","3.9","4.35","1.7","2.2","2.45","2.2","54535","372286.69","85.32","2547300","-192225","8573.35"
"NIFTY","14-Oct-2016","27-Oct-2016","CE","9100","2.75","2.75","1.85","2.2","2.25","2.2","17460","119192.55","28.05","2561925","14625","8583.4"
"NIFTY","17-Oct-2016","27-Oct-2016","CE","9100","2.05","2.2","1.4","1.8","1.85","1.8","32019","218570.54","40.86","2668125","106200","8520.4"
"NIFTY","18-Oct-2016","27-Oct-2016","CE","9100","1.55","2.45","1.55","2.25","2.1","2.25","27297","186341.34","39.31","2421900","-246225","8677.9"
"NIFTY","19-Oct-2016","27-Oct-2016","CE","9100","2.3","2.3","1.5","1.75","1.65","1.75","24531","167457.16","33.09","2448225","26325","8659.1"
"NIFTY","20-Oct-2016","27-Oct-2016","CE","9100","2","2","1.4","1.55","1.5","1.55","26846","183257.01","33.06","2582400","134175","8699.4"
"NIFTY","21-Oct-2016","27-Oct-2016","CE","9100","1.3","1.3","0.7","0.9","0.85","0.9","24572","167720.76","16.86","2227875","-354525","8693.05"
"NIFTY","24-Oct-2016","27-Oct-2016","CE","9100","0.75","0.75","0.45","0.6","0.5","0.6","16424","112101.03","7.23","2263575","35700","8708.95"
"NIFTY","25-Oct-2016","27-Oct-2016","CE","9100","0.45","0.5","0.3","0.4","0.35","0.4","10544","71965.86","3.06","2213625","-49950","8691.3"
"NIFTY","26-Oct-2016","27-Oct-2016","CE","9100","0.2","0.4","0.2","0.3","0.2","0.3","8582","58574.11","1.96","2149050","-64575","8615.25"
"NIFTY","27-Oct-2016","27-Oct-2016","CE","9100","0.05","0.1","0.05","0.05","0.05","0","4451","30378.24",".17","2158500","9450","8615.25"
